pt	en	es	ar	ko	ja	zh	hi	id	ru
cena 3d	3d scene	escena 3d	مشهد ثلاثي الأبعاد	3d 장면	3dシーン	3d场景	3d दृश्य	adegan 3d	3d-сцена
Cena com profundidade	Scene with depth	Escena con profundidad	مشهد بعمق	깊이가 있는 장면	奥行きのあるシーン	有深度的场景	गहराई वाला दृश्य	Adegan dengan kedalaman	Сцена с глубиной
Cena extremamente pesada	Extremely heavy scene	Escena extremadamente pesada	مشهد ثقيل للغاية	매우 무거운 장면	非常に重いシーン	极重的场景	बेहद भारी दृश्य	Adegan sangat berat	Крайне тяжёлая сцена
Cena quase plana	Almost flat scene	Escena casi plana	مشهد شبه مسطح	거의 평면인 장면	ほぼ平面のシーン	近乎平面的场景	लगभग सपाट दृश्य	Adegan hampir datar	Почти плоская сцена
Centro	Center	Centro	المركز	중앙	中央	中心	केंद्र	Tengah	Центр
Ceramica	Ceramic	Cerámica	سيراميك	세라믹	セラミック	陶瓷	सिरेमिक	Keramik	Керамика
Ceu	Sky	Cielo	السماء	하늘	空	天空	आकाश	Langit	Небо
Chama	Flame	Llama	لهب	불꽃	炎	火焰	लौ	Nyala api	Пламя
Chamine	Chimney	Chimenea	مدخنة	굴뚝	煙突	烟囱	चिमनी	Cerobong	Дымоход
Chao	Floor	Suelo	الأرضية	바닥	床	地面	फ़र्श	Lantai	Пол
Check	Check	Check	علامة صح	체크	チェック	对勾	चेक	Centang	Галочка
Chicote	Whip	Látigo	سوط	휩	ウィップ	甩动	व्हिप	Cambuk	Хлыст
Chroma Key	Chroma Key	Chroma Key	مفتاح الكروما	크로마 키	クロマキー	色度抠图	क्रोमा की	Chroma Key	Хромакей
Chromatic Aberration	Chromatic Aberration	Aberración cromática	زيغ لوني	색수차	色収差	色差	क्रोमैटिक एबरेशन	Aberasi kromatik	Хроматическая аберрация
Chrominance	Chrominance	Crominancia	الكرومينانس	크로미넌스	クロミナンス	色度	क्रोमिनेंस	Krominansi	Цветность
Chão	Floor	Suelo	الأرضية	바닥	床	地面	फ़र्श	Lantai	Пол
Ciano	Cyan	Cian	سماوي	시안	シアン	青色	सियान	Sian	Голубой
Ciclico	Cyclic	Cíclico	دوري	순환	周期	循环	चक्रीय	Siklik	Циклический
Cilindro	Cylinder	Cilindro	أسطوانة	원기둥	円柱	圆柱	सिलेंडर	Silinder	Цилиндр
Cima	Up	Arriba	أعلى	위	上	上	ऊपर	Atas	Вверх
Circle	Circle	Círculo	دائرة	원	円	圆圈	वृत्त	Lingkaran	Круг
Circular	Circular	Circular	دائري	원형	円形	圆形	गोलाकार	Melingkar	Круговой
Clamp	Clamp	Clamp	تثبيت	클램프	クランプ	钳制	क्लैम्प	Clamp	Ограничение
Clarear	Lighten	Aclarar	تفتيح	밝게 하기	明るく	变亮	हल्का करें	Terangkan	Осветление
Clareia tudo por igual, sem sombra.	Brightens everything evenly, without shadow.	Ilumina todo por igual, sin sombra.	يضيء كل شيء بالتساوي، بلا ظل.	그림자 없이 모든 것을 고르게 밝힙니다.	影を作らず、すべてを均一に明るくします。	均匀照亮一切，没有阴影。	सब कुछ समान रूप से उजला करता है, बिना छाया के।	Menerangi semuanya secara merata, tanpa bayangan.	Равномерно освещает всё, без теней.
Claro no escuro	Light on dark	Claro sobre oscuro	فاتح على داكن	어두운 배경에 밝게	暗い背景に明るく	暗底亮色	गहरे पर हल्का	Terang di atas gelap	Светлое на тёмном
Codificando	Encoding	Codificando	جارٍ الترميز	인코딩 중	エンコード中	正在编码	एन्कोड हो रहा है	Mengenkode	Кодирование
COLINA · cena 3D editavel	COLINA · editable 3D scene	COLINA · escena 3D editable	COLINA · مشهد ثلاثي الأبعاد قابل للتعديل	COLINA · 편집 가능한 3D 장면	COLINA · 編集可能な3Dシーン	COLINA · 可编辑的3D场景	COLINA · संपादन योग्य 3D दृश्य	COLINA · adegan 3D yang bisa diedit	COLINA · редактируемая 3D-сцена
Color	Color	Color	اللون	색상	色	颜色	रंग	Warna	Цвет
Color Key	Color Key	Clave de color	مفتاح اللون	컬러 키	カラーキー	颜色键	कलर की	Color Key	Цветовой ключ
Color Wheels	Color Wheels	Ruedas de color	عجلات الألوان	컬러 휠	カラーホイール	色轮	कलर व्हील	Roda warna	Цветовые круги
color wheels	color wheels	ruedas de color	عجلات الألوان	컬러 휠	カラーホイール	色轮	कलर व्हील	roda warna	цветовые круги
Com efeito	With effect	Con efecto	مع التأثير	효과 적용	エフェクトあり	带效果	इफ़ेक्ट के साथ	Dengan efek	С эффектом
Com internet, na nuvem; sem, no aparelho.	With internet, in the cloud; without it, on the device.	Con internet, en la nube; sin internet, en el dispositivo.	مع الإنترنت، في السحابة؛ وبدونه، على الجهاز.	인터넷이 있으면 클라우드에서, 없으면 기기에서 처리합니다.	インターネットがあればクラウドで、なければ端末で処理します。	有网络时在云端处理，没有时在设备上处理。	इंटरनेट होने पर क्लाउड में, न होने पर डिवाइस पर।	Dengan internet, di cloud; tanpa internet, di perangkat.	С интернетом — в облаке; без него — на устройстве.
Combina linhas de varredura, sangramento de cor, instabilidade e ruído. Intensidade mistura o conjunto; reduza desbotar para conservar a cor.	Combines scan lines, color bleed, jitter and noise. Intensity blends the whole set; lower fade to keep the color.	Combina líneas de barrido, sangrado de color, inestabilidad y ruido. Intensidad mezcla el conjunto; reduce desvanecer para conservar el color.	يجمع بين خطوط المسح ونزيف الألوان والاهتزاز والتشويش. الشدة تمزج المجموعة كلها؛ قلّل البهتان للحفاظ على اللون.	주사선, 색 번짐, 흔들림, 노이즈를 결합합니다. 강도는 전체를 섞고, 색을 유지하려면 바램을 낮추세요.	走査線、色にじみ、揺れ、ノイズを組み合わせます。強度で全体を混ぜ、色を保つには退色を下げてください。	结合扫描线、色彩渗出、抖动和噪点。强度混合整体效果；降低褪色可保留色彩。	स्कैन लाइनें, रंग का फैलाव, अस्थिरता और शोर को मिलाता है। तीव्रता पूरे सेट को मिलाती है; रंग बनाए रखने के लिए फीकापन कम करें।	Menggabungkan garis pindai, luberan warna, goyangan, dan derau. Intensitas mencampur keseluruhan; kurangi pudar untuk mempertahankan warna.	Сочетает строки развёртки, растекание цвета, дрожание и шум. Интенсивность смешивает всё вместе; уменьшите выцветание, чтобы сохранить цвет.
Combina saltos, escala, cor, luz, blur e separação RGB. Quantidade é o controle mestre; velocidade e intervalo definem os pulsos.	Combines jumps, scale, color, light, blur and RGB split. Amount is the master control; speed and interval set the pulses.	Combina saltos, escala, color, luz, desenfoque y separación RGB. Cantidad es el control maestro; velocidad e intervalo definen los pulsos.	يجمع بين القفزات والمقياس واللون والضوء والضبابية وفصل RGB. الكمية هي التحكم الرئيسي؛ السرعة والفاصل يحددان النبضات.	점프, 배율, 색상, 빛, 블러, RGB 분리를 결합합니다. 양이 마스터 컨트롤이며, 속도와 간격이 펄스를 정합니다.	ジャンプ、スケール、色、光、ブラー、RGB分離を組み合わせます。量がマスターコントロールで、速度と間隔がパルスを決めます。	结合跳动、缩放、颜色、光、模糊和 RGB 分离。数量是主控制；速度和间隔决定脉冲。	छलांग, स्केल, रंग, प्रकाश, ब्लर और RGB विभाजन को मिलाता है। मात्रा मुख्य नियंत्रण है; गति और अंतराल पल्स तय करते हैं।	Menggabungkan lompatan, skala, warna, cahaya, blur, dan pemisahan RGB. Jumlah adalah kontrol utama; kecepatan dan interval menentukan denyutnya.	Сочетает скачки, масштаб, цвет, свет, размытие и разделение RGB. Количество — главный регулятор; скорость и интервал задают импульсы.
Combinar	Merge	Combinar	دمج	병합	結合	合并	मर्ज करें	Gabungkan	Объединить
Continuo	Continuous	Continuo	مستمر	연속	連続	连续	निरंतर	Kontinu	Непрерывный
Copia o video exportado para a galeria	Copies the exported video to the gallery	Copia el vídeo exportado a la galería	ينسخ الفيديو المصدَّر إلى المعرض	내보낸 동영상을 갤러리에 복사합니다	書き出した動画をギャラリーにコピーします	将导出的视频复制到相册	निर्यात किए गए वीडियो को गैलरी में कॉपी करता है	Menyalin video yang diekspor ke galeri	Копирует экспортированное видео в галерею
Copy	Copy	Copiar	نسخ	복사	コピー	复制	कॉपी करें	Salin	Копировать
Cor de filme	Film color	Color de película	لون الفيلم	필름 색상	フィルムの色	胶片色	फ़िल्म रंग	Warna film	Цвет плёнки
Cor do filme	Film color	Color de la película	لون الفيلم	필름 색상	フィルムの色	胶片颜色	फ़िल्म का रंग	Warna film	Цвет плёнки
Cor do realce	Highlight color	Color del realce	لون الإبراز	하이라이트 색상	ハイライトの色	高光颜色	हाइलाइट रंग	Warna sorotan	Цвет бликов
Cor mais clara	Lighter color	Color más claro	لون أفتح	밝은 색상	カラー比較（明）	浅色	हल्का रंग	Warna lebih terang	Светлее
Cor mais escura	Darker color	Color más oscuro	لون أغمق	어두운 색상	カラー比較（暗）	深色	गहरा रंग	Warna lebih gelap	Темнее
Coracao	Heart	Corazón	قلب	하트	ハート	心形	दिल	Hati	Сердце
Corner Box	Corner Box	Cuadro de esquinas	إطار الزوايا	코너 박스	コーナーボックス	角框	कॉर्नर बॉक्स	Kotak sudut	Угловая рамка
Coroa	Crown	Corona	تاج	왕관	王冠	皇冠	मुकुट	Mahkota	Корона
Coroa fina	Thin crown	Corona fina	تاج رفيع	얇은 왕관	細い王冠	细皇冠	पतला मुकुट	Mahkota tipis	Тонкая корона
Correcoes	Corrections	Correcciones	التصحيحات	보정	補正	校正	सुधार	Koreksi	Коррекция
Correção básica em sequência: exposição, contraste, sombras/altas, temperatura, matiz, saturação e gama. Ajuste primeiro exposição e balanço de branco.	Basic correction in sequence: exposure, contrast, shadows/highlights, temperature, tint, saturation and gamma. Adjust exposure and white balance first.	Corrección básica en secuencia: exposición, contraste, sombras/altas luces, temperatura, matiz, saturación y gamma. Ajusta primero la exposición y el balance de blancos.	تصحيح أساسي بالتسلسل: التعريض، التباين، الظلال/الإضاءات العالية، درجة الحرارة، الصبغة، التشبع والغاما. اضبط التعريض وتوازن البياض أولًا.	순서대로 기본 보정: 노출, 대비, 그림자/하이라이트, 색온도, 색조, 채도, 감마. 노출과 화이트 밸런스를 먼저 조정하세요.	基本補正を順番に：露出、コントラスト、シャドウ／ハイライト、色温度、色かぶり、彩度、ガンマ。まず露出とホワイトバランスを調整してください。	按顺序进行基础校正：曝光、对比度、阴影/高光、色温、色调、饱和度和伽马。先调整曝光和白平衡。	क्रम में बुनियादी सुधार: एक्सपोज़र, कंट्रास्ट, छाया/हाइलाइट, तापमान, टिंट, संतृप्ति और गामा। पहले एक्सपोज़र और व्हाइट बैलेंस समायोजित करें।	Koreksi dasar secara berurutan: eksposur, kontras, bayangan/sorotan, suhu, rona, saturasi, dan gama. Sesuaikan eksposur dan white balance terlebih dahulu.	Базовая коррекция по порядку: экспозиция, контраст, тени/света, температура, оттенок, насыщенность и гамма. Сначала настройте экспозицию и баланс белого.
Corrupção por blocos e linhas. Intensidade mistura, deslocamento afasta os blocos; velocidade muda o padrão com o tempo.	Block and line corruption. Intensity blends it, offset pushes the blocks apart; speed changes the pattern over time.	Corrupción por bloques y líneas. Intensidad mezcla, desplazamiento separa los bloques; velocidad cambia el patrón con el tiempo.	تلف بالكتل والخطوط. الشدة تمزج، والإزاحة تباعد الكتل؛ السرعة تغيّر النمط مع الوقت.	블록과 선으로 된 손상 효과입니다. 강도는 섞고, 오프셋은 블록을 벌리며, 속도는 시간에 따라 패턴을 바꿉니다.	ブロックと線による破損効果です。強度で混ぜ、オフセットでブロックを離し、速度で時間とともにパターンが変わります。	块状和线条损坏效果。强度混合，偏移拉开块的距离；速度随时间改变图案。	ब्लॉक और लाइनों से बिगाड़। तीव्रता मिलाती है, ऑफ़सेट ब्लॉकों को दूर करता है; गति समय के साथ पैटर्न बदलती है।	Kerusakan berupa blok dan garis. Intensitas mencampur, offset menjauhkan blok; kecepatan mengubah pola seiring waktu.	Повреждение блоками и линиями. Интенсивность смешивает, смещение раздвигает блоки; скорость меняет узор со временем.
Cortando silencios	Cutting silences	Cortando silencios	جارٍ قص فترات الصمت	무음 구간 자르는 중	無音をカット中	正在剪掉静音	मौन हिस्से काटे जा रहे हैं	Memotong bagian hening	Вырезание тишины
Corte das pausas longas, sem zoom.	Cuts the long pauses, no zoom.	Corte de las pausas largas, sin zoom.	قص التوقفات الطويلة، بدون تكبير.	긴 멈춤 구간을 잘라내며, 줌은 없습니다.	長い間を切り、ズームはなし。	剪掉长停顿，不加缩放。	लंबे ठहराव काटे जाते हैं, बिना ज़ूम के।	Memotong jeda panjang, tanpa zoom.	Вырезает долгие паузы, без зума.
Cortina	Curtain	Cortina	ستارة	커튼	カーテン	窗帘	पर्दा	Tirai	Занавес
Costura	Seam	Costura	درزة	이음새	継ぎ目	接缝	सीवन	Jahitan	Шов
Cresce	Grows	Crece	يكبر	커짐	大きくなる	变大	बढ़ता है	Membesar	Растёт
Crescer	Grow	Crecer	تكبير	커지기	拡大	放大	बढ़ना	Tumbuh	Рост
Cria um halo nas áreas claras. Limite escolhe o que brilha; raio espalha; intensidade controla a luz. Experimente depois de Levels.	Creates a halo in the bright areas. Threshold picks what glows; radius spreads it; intensity controls the light. Try it after Levels.	Crea un halo en las zonas claras. Límite elige qué brilla; radio lo expande; intensidad controla la luz. Pruébalo después de Levels.	ينشئ هالة في المناطق الفاتحة. الحد يختار ما يتوهج؛ نصف القطر ينشره؛ الشدة تتحكم في الضوء. جرّبه بعد Levels.	밝은 영역에 후광을 만듭니다. 한계값이 빛날 부분을 고르고, 반경이 퍼뜨리며, 강도가 빛을 조절합니다. Levels 다음에 써 보세요.	明るい部分にハローを作ります。しきい値で光る範囲を選び、半径で広げ、強度で光を調整します。Levelsの後に試してみてください。	在明亮区域生成光晕。阈值决定哪些部分发光；半径扩散范围；强度控制光量。可在 Levels 之后尝试。	उजले हिस्सों में एक हेलो बनाता है। सीमा तय करती है कि क्या चमके; त्रिज्या उसे फैलाती है; तीव्रता प्रकाश को नियंत्रित करती है। Levels के बाद आज़माएँ।	Membuat halo di area terang. Batas memilih apa yang bersinar; radius menyebarkannya; intensitas mengatur cahaya. Coba setelah Levels.	Создаёт ореол в светлых областях. Порог выбирает, что светится; радиус расширяет; интенсивность управляет светом. Попробуйте после Levels.
Crie a conta primeiro.	Create the account first.	Crea la cuenta primero.	أنشئ الحساب أولًا.	먼저 계정을 만드세요.	先にアカウントを作成してください。	请先创建账号。	पहले खाता बनाएँ।	Buat akun terlebih dahulu.	Сначала создайте аккаунт.
Cromo	Chrome	Cromo	كروم	크롬	クロム	铬	क्रोम	Krom	Хром
Crosshair	Crosshair	Retícula	علامة تصويب	십자선	十字線	十字线	क्रॉसहेयर	Bidik silang	Перекрестие
Cubo	Cube	Cubo	مكعب	정육면체	立方体	立方体	घन	Kubus	Куб
Cubo de vidro	Glass cube	Cubo de vidrio	مكعب زجاجي	유리 정육면체	ガラスの立方体	玻璃立方体	काँच का घन	Kubus kaca	Стеклянный куб
Cupula	Dome	Cúpula	قبة	돔	ドーム	穹顶	गुंबद	Kubah	Купол
Cursor	Cursor	Cursor	المؤشر	커서	カーソル	光标	कर्सर	Kursor	Курсор
Curtas	Short	Cortas	قصيرة	짧게	短め	短句	छोटे	Pendek	Короткие
Curva a imagem em um eixo. Quantidade define o desvio; curvatura e âncora moldam a dobra. Anime quantidade para uma entrada flexível.	Bends the image along one axis. Amount sets the offset; curvature and anchor shape the fold. Animate amount for a flexible entrance.	Curva la imagen en un eje. Cantidad define el desvío; curvatura y ancla moldean el pliegue. Anima cantidad para una entrada flexible.	يحني الصورة على محور واحد. الكمية تحدد الانحراف؛ الانحناء والمرساة يشكّلان الطية. حرّك الكمية للحصول على دخول مرن.	이미지를 한 축으로 휘게 합니다. 양이 편차를 정하고, 곡률과 앵커가 접힘을 만듭니다. 유연한 등장을 위해 양을 애니메이션하세요.	画像を一つの軸に沿って曲げます。量でずれを決め、曲率とアンカーで折れ方を形作ります。柔軟な登場には量をアニメーションさせてください。	沿一个轴弯曲图像。数量决定偏移；曲率和锚点塑造折弯。为数量添加动画可获得柔韧的入场效果。	छवि को एक अक्ष पर मोड़ता है। मात्रा विचलन तय करती है; वक्रता और एंकर मोड़ को आकार देते हैं। लचीली एंट्री के लिए मात्रा को एनिमेट करें।	Melengkungkan gambar pada satu sumbu. Jumlah menentukan simpangan; kelengkungan dan jangkar membentuk lipatan. Animasikan jumlah untuk masuk yang luwes.	Изгибает изображение по одной оси. Количество задаёт отклонение; кривизна и якорь формируют сгиб. Анимируйте количество для гибкого появления.
Curva de gradação	Easing curve	Curva de interpolación	منحنى التدرج	보간 곡선	イージングカーブ	缓动曲线	ईज़िंग कर्व	Kurva easing	Кривая плавности
Curves	Curves	Curvas	المنحنيات	곡선	トーンカーブ	曲线	कर्व्स	Kurva	Кривые
Céu · luz da manhã	Sky · morning light	Cielo · luz de la mañana	السماء · ضوء الصباح	하늘 · 아침 빛	空 · 朝の光	天空 · 晨光	आकाश · सुबह की रोशनी	Langit · cahaya pagi	Небо · утренний свет
Das bordas	From the edges	Desde los bordes	من الحواف	가장자리부터	端から	从边缘	किनारों से	Dari tepi	От краёв
Dashed	Dashed	Discontinuo	متقطع	파선	破線	虚线	डैश वाली	Putus-putus	Штриховая
Decagono	Decagon	Decágono	عشاري الأضلاع	십각형	十角形	十边形	दशभुज	Dekagon	Десятиугольник
Deep Glow	Deep Glow	Deep Glow	Deep Glow	Deep Glow	Deep Glow	Deep Glow	Deep Glow	Deep Glow	Deep Glow
Deforma a imagem como uma lente grande angular. Valores positivos ampliam o centro; negativos comprimem.	Warps the image like a wide-angle lens. Positive values enlarge the center; negative ones compress it.	Deforma la imagen como un objetivo gran angular. Los valores positivos amplían el centro; los negativos lo comprimen.	يشوّه الصورة كعدسة واسعة الزاوية. القيم الموجبة تكبّر المركز؛ والسالبة تضغطه.	광각 렌즈처럼 이미지를 왜곡합니다. 양수 값은 중앙을 확대하고, 음수 값은 압축합니다.	広角レンズのように画像を歪ませます。正の値は中央を拡大し、負の値は圧縮します。	像广角镜头一样扭曲图像。正值放大中心；负值压缩中心。	छवि को वाइड-एंगल लेंस की तरह विकृत करता है। धनात्मक मान केंद्र को बड़ा करते हैं; ऋणात्मक उसे दबाते हैं।	Mendistorsi gambar seperti lensa sudut lebar. Nilai positif memperbesar bagian tengah; nilai negatif memampatkannya.	Искажает изображение как широкоугольный объектив. Положительные значения увеличивают центр; отрицательные сжимают.
Deg. elastico	Elastic steps	Pasos elásticos	خطوات مرنة	탄성 계단	弾性ステップ	弹性阶梯	इलास्टिक स्टेप	Langkah elastis	Упругие ступени
Dente de serra	Sawtooth	Diente de sierra	سن المنشار	톱니파	のこぎり波	锯齿波	सॉटूथ	Gigi gergaji	Пила
DERIVA · cena 3D editavel	DERIVA · editable 3D scene	DERIVA · escena 3D editable	DERIVA · مشهد ثلاثي الأبعاد قابل للتعديل	DERIVA · 편집 가능한 3D 장면	DERIVA · 編集可能な3Dシーン	DERIVA · 可编辑3D场景	DERIVA · संपादन योग्य 3D दृश्य	DERIVA · adegan 3D yang dapat diedit	DERIVA · редактируемая 3D-сцена
Desenha só os contornos. Traço escolhe claro-no-escuro ou o inverso; misturar traz a imagem de volta por baixo.	Draws only the outlines. Stroke picks light-on-dark or the reverse; mix brings the image back underneath.	Dibuja solo los contornos. Trazo elige claro sobre oscuro o al revés; mezclar devuelve la imagen por debajo.	يرسم الحدود فقط. يختار الحد فاتحًا على داكن أو العكس؛ والمزج يعيد الصورة من الأسفل.	윤곽선만 그립니다. 선은 어두운 배경에 밝은 선 또는 그 반대를 선택하고, 혼합은 아래에 원본 이미지를 다시 보여 줍니다.	輪郭だけを描きます。線はダーク上のライトかその逆を選び、ブレンドで下に元の画像を戻します。	只绘制轮廓。描边可选暗底亮线或相反；混合会让原图从下方重新显现。	केवल रूपरेखा बनाता है। स्ट्रोक गहरे पर हल्का या उसका उल्टा चुनता है; ब्लेंडिंग नीचे से छवि को वापस लाती है।	Hanya menggambar garis tepi. Goresan memilih terang di atas gelap atau sebaliknya; pencampuran memunculkan kembali gambar di bawahnya.	Рисует только контуры. Обводка выбирает светлое на тёмном или наоборот; наложение возвращает изображение снизу.
Desenhando os quadros	Drawing the frames	Dibujando los fotogramas	جارٍ رسم الإطارات	프레임 그리는 중	フレームを描画中	正在绘制帧	फ़्रेम बनाए जा रहे हैं	Menggambar bingkai	Отрисовка кадров
Desenho livre	Freehand	Dibujo libre	رسم حر	자유 그리기	フリーハンド	自由绘制	फ़्रीहैंड	Gambar bebas	Свободное рисование
Deserto · cena 3D	Desert · 3D scene	Desierto · escena 3D	صحراء · مشهد ثلاثي الأبعاد	사막 · 3D 장면	砂漠 · 3Dシーン	沙漠 · 3D场景	रेगिस्तान · 3D दृश्य	Gurun · adegan 3D	Пустыня · 3D-сцена
Desfoque de zoom ou giro. Quantidade controla a extensão; mais amostras suavizam o resultado e custam desempenho.	Zoom or spin blur. Amount controls the extent; more samples smooth the result and cost performance.	Desenfoque de zoom o giro. Cantidad controla la extensión; más muestras suavizan el resultado y cuestan rendimiento.	تمويه تكبير أو دوران. تتحكم الكمية في المدى؛ والمزيد من العينات ينعّم النتيجة ويستهلك الأداء.	줌 또는 회전 흐림입니다. 양은 범위를 조절하고, 샘플이 많을수록 결과가 부드러워지지만 성능을 더 소모합니다.	ズームまたは回転のブラー。量で範囲を調整し、サンプル数を増やすと滑らかになりますが負荷が上がります。	缩放或旋转模糊。数量控制范围；采样越多结果越平滑，但更耗性能。	ज़ूम या घुमाव ब्लर। मात्रा सीमा नियंत्रित करती है; अधिक सैंपल परिणाम को चिकना बनाते हैं पर प्रदर्शन खर्च करते हैं।	Blur zoom atau putar. Jumlah mengatur jangkauannya; sampel lebih banyak menghaluskan hasil tetapi membebani performa.	Размытие зумом или вращением. Величина задаёт размах; больше выборок сглаживают результат, но снижают производительность.
Desfoque descendo	Blur down	Desenfoque hacia abajo	تمويه للأسفل	아래로 흐림	下へブラー	向下模糊	नीचे की ओर ब्लर	Blur ke bawah	Размытие вниз
Desfoque por palavra	Blur by word	Desenfoque por palabra	تمويه لكل كلمة	단어별 흐림	単語ごとにブラー	逐词模糊	शब्द अनुसार ब्लर	Blur per kata	Размытие по словам
Desfoque subindo	Blur up	Desenfoque hacia arriba	تمويه للأعلى	위로 흐림	上へブラー	向上模糊	ऊपर की ओर ब्लर	Blur ke atas	Размытие вверх
Desligada	Off	Desactivada	متوقفة	꺼짐	オフ	关闭	बंद	Nonaktif	Выкл.
Desligado	Off	Desactivado	متوقف	꺼짐	オフ	关闭	बंद	Nonaktif	Выкл.
Deslize aqui para posicionar o proximo ponto, depois toque aqui para crava-lo.	Drag here to position the next point, then tap here to pin it.	Desliza aquí para posicionar el siguiente punto y luego toca aquí para fijarlo.	اسحب هنا لتحديد موضع النقطة التالية، ثم انقر هنا لتثبيتها.	여기서 드래그해 다음 점의 위치를 잡은 뒤, 여기를 탭해 고정하세요.	ここをドラッグして次のポイントの位置を決め、ここをタップして固定します。	在此拖动以定位下一个点，然后点按此处将其固定。	अगला बिंदु रखने के लिए यहाँ खींचें, फिर उसे टिकाने के लिए यहाँ टैप करें।	Geser di sini untuk menempatkan titik berikutnya, lalu ketuk di sini untuk menguncinya.	Проведите здесь, чтобы разместить следующую точку, затем коснитесь здесь, чтобы закрепить её.
Desloca a imagem com repeticao continua nas bordas. Centro X e Y em 0,5 preservam o enquadramento original.	Shifts the image with seamless repetition at the edges. Center X and Y at 0.5 keep the original framing.	Desplaza la imagen con repetición continua en los bordes. Centro X e Y en 0,5 conservan el encuadre original.	يزيح الصورة مع تكرار متصل عند الحواف. المركز X وY عند 0.5 يحافظان على الإطار الأصلي.	가장자리에서 끊김 없이 반복하며 이미지를 이동합니다. 중심 X와 Y가 0.5이면 원래 구도가 유지됩니다.	端で連続的に繰り返しながら画像をずらします。中心XとYを0.5にすると元の構図が保たれます。	平移图像并在边缘无缝重复。中心X和Y为0.5时保持原始构图。	किनारों पर निरंतर दोहराव के साथ छवि को खिसकाता है। केंद्र X और Y 0.5 पर मूल फ़्रेमिंग बनाए रखते हैं।	Menggeser gambar dengan pengulangan mulus di tepi. Pusat X dan Y pada 0,5 mempertahankan bingkai asli.	Смещает изображение с бесшовным повторением по краям. Центр X и Y на 0,5 сохраняют исходное кадрирование.
Deslocar	Offset	Desplazar	إزاحة	오프셋	オフセット	偏移	ऑफ़सेट	Geser	Смещение
Deslocar caminho	Offset path	Desplazar trazado	إزاحة المسار	패스 오프셋	パスのオフセット	偏移路径	पाथ ऑफ़सेट	Geser jalur	Смещение контура
Detecta regiões e desenha marcações. Em vídeo, use Analisar para obter dados reais antes de ajustar os elementos gráficos. Sem análise, a visualização não comprova rastreamento do conteúdo.	Detects regions and draws markers. On video, use Analyze to get real data before adjusting the graphic elements. Without analysis, the overlay does not prove the content is being tracked.	Detecta regiones y dibuja marcas. En vídeo, usa Analizar para obtener datos reales antes de ajustar los elementos gráficos. Sin análisis, la visualización no demuestra el seguimiento del contenido.	يكتشف المناطق ويرسم علامات. في الفيديو، استخدم «تحليل» للحصول على بيانات حقيقية قبل ضبط العناصر الرسومية. من دون تحليل، لا يثبت العرض تتبّع المحتوى.	영역을 감지하고 표시를 그립니다. 동영상에서는 그래픽 요소를 조정하기 전에 분석을 실행해 실제 데이터를 얻으세요. 분석 없이는 표시가 콘텐츠 추적을 보장하지 않습니다.	領域を検出してマーカーを描きます。動画では、グラフィック要素を調整する前に「解析」で実データを取得してください。解析なしでは、表示はコンテンツの追跡を保証しません。	检测区域并绘制标记。视频中请先使用“分析”获取真实数据，再调整图形元素。未经分析，显示的标记并不证明内容已被跟踪。	क्षेत्रों का पता लगाता है और निशान बनाता है। वीडियो में, ग्राफ़िक तत्व समायोजित करने से पहले वास्तविक डेटा पाने के लिए विश्लेषण करें का उपयोग करें। बिना विश्लेषण के, दृश्य सामग्री की ट्रैकिंग सिद्ध नहीं करता।	Mendeteksi area dan menggambar penanda. Pada video, gunakan Analisis untuk mendapatkan data nyata sebelum menyesuaikan elemen grafis. Tanpa analisis, tampilan tidak membuktikan pelacakan konten.	Обнаруживает области и рисует отметки. В видео используйте «Анализировать», чтобы получить реальные данные перед настройкой графических элементов. Без анализа отображение не подтверждает отслеживание содержимого.
Detectar sozinho	Auto-detect	Detectar automáticamente	اكتشاف تلقائي	자동 감지	自動検出	自动检测	स्वतः पता लगाएँ	Deteksi otomatis	Определить автоматически
Diamante	Diamond	Diamante	ماسة	다이아몬드	ダイヤモンド	钻石	हीरा	Berlian	Алмаз
Diferenca	Difference	Diferencia	الفرق	차이	差	差值	अंतर	Perbedaan	Разница
Digital Damage	Digital Damage	Daño digital	تلف رقمي	디지털 손상	デジタルダメージ	数字损坏	डिजिटल डैमेज	Kerusakan digital	Цифровые помехи
Direcional	Directional	Direccional	اتجاهي	방향광	ディレクショナル	平行光	दिशात्मक	Terarah	Направленный
Directional Blur	Directional Blur	Desenfoque direccional	تمويه اتجاهي	방향 흐림	方向ブラー	方向模糊	दिशात्मक ब्लर	Blur arah	Направленное размытие
Diss	Diss	Dis	تلاشي	디졸브	ディゾ	溶解	डिज़ॉ.	Diss	Раств.
Dissolve	Dissolve	Disolver	تلاشي	디졸브	ディゾルブ	溶解	डिज़ॉल्व	Dissolve	Растворение
